startDate;01.01.2019;;;;
BlockTime, seconds;15;;;;
InitialSupply;21000000;;;;
TotalSupplyLimit;42000000;;;;
UnfreezeTokensPerBlock;5;;;;
ColdPeriod, blocks;172800;;;;
ColdPeriod, day;30;;;;
ModelPeriod, year;3;;;;
HoldPercent;100.00%;;;;
;;;;;
BlockNumber;Supply;StakingRewardPool;OnColdStacking;Date;RewardPercent
172801;21864005;864005;21000000;31.01.2019;4.11%
345601;22728005;864000;21864005;02.03.2019;3.95%
518401;23592005;864000;22728005;01.04.2019;3.80%
691201;24456005;864000;23592005;01.05.2019;3.66%
864001;25320005;864000;24456005;31.05.2019;3.53%
1036801;26184005;864000;25320005;30.06.2019;3.41%
1209601;27048005;864000;26184005;30.07.2019;3.30%
1382401;27912005;864000;27048005;29.08.2019;3.19%
1555201;28776005;864000;27912005;28.09.2019;3.10%
1728001;29640005;864000;28776005;28.10.2019;3.00%
1900801;30504005;864000;29640005;27.11.2019;2.91%
2073601;31368005;864000;30504005;27.12.2019;2.83%
2246401;32232005;864000;31368005;26.01.2020;2.75%
2419201;33096005;864000;32232005;25.02.2020;2.68%
2592001;33960005;864000;33096005;26.03.2020;2.61%
2764801;34824005;864000;33960005;25.04.2020;2.54%
2937601;35688005;864000;34824005;25.05.2020;2.48%
3110401;36552005;864000;35688005;24.06.2020;2.42%
3283201;37416005;864000;36552005;24.07.2020;2.36%
3456001;38280005;864000;37416005;23.08.2020;2.31%
3628801;39144005;864000;38280005;22.09.2020;2.26%
3801601;40008005;864000;39144005;22.10.2020;2.21%
3974401;40872005;864000;40008005;21.11.2020;2.16%
4147201;41736005;864000;40872005;21.12.2020;2.11%
4320001;42000000;263995;41736005;20.01.2021;0.63%
4492801;42000000;0;42000000;19.02.2021;0.00%
4665601;42000000;0;42000000;21.03.2021;0.00%
4838401;42000000;0;42000000;20.04.2021;0.00%
5011201;42000000;0;42000000;20.05.2021;0.00%
5184001;42000000;0;42000000;19.06.2021;0.00%
5356801;42000000;0;42000000;19.07.2021;0.00%
5529601;42000000;0;42000000;18.08.2021;0.00%
5702401;42000000;0;42000000;17.09.2021;0.00%
5875201;42000000;0;42000000;17.10.2021;0.00%
6048001;42000000;0;42000000;16.11.2021;0.00%
6220801;42000000;0;42000000;16.12.2021;0.00%
